artifactName,artifactName1,country,material,material1,library,library1,size,size1,description,description1,moreUrl,imageUrl
Gruppenbild mit Tieren,与动物合影,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1857014/gruppenbild-mit-tieren,https://recherche.smb.museum/images/42/4273722_1200x1200.jpg
äußere Höhlenansicht,洞穴外景观,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Objektmaß: 13 x 18 cm,物体尺寸：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1856965/aussere-hohlenansicht,https://recherche.smb.museum/images/42/4273638_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857013/portrait,https://recherche.smb.museum/images/42/4273684_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856995/portrait,https://recherche.smb.museum/images/42/4273671_1200x1200.jpg
Höhlen-Panorama,洞穴全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1856963/hohlen-panorama,https://recherche.smb.museum/images/42/4273635_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856944/ruinenfeld,https://recherche.smb.museum/images/42/4273578_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856979/portrait,https://recherche.smb.museum/images/42/4273655_1200x1200.jpg
Höhlenansicht und Wandmalerei,洞穴景观与壁画,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Objektmaß: 13 x 18 cm,物体尺寸：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1856962/hohlenansicht-und-wandmalerei,https://recherche.smb.museum/images/42/4273634_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857011/portrait,https://recherche.smb.museum/images/42/4273682_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856945/ruinenfeld,https://recherche.smb.museum/images/42/4273579_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,2. Turfan-Expedition 1904-1905,2.1904-1905年吐鲁番远征,https://id.smb.museum/object/1856981/portrait,https://recherche.smb.museum/images/42/4273656_1200x1200.jpg
äußere Höhlenansicht,洞穴外景观,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Objektmaß: 13 x 18 cm,物体尺寸：13 x 18厘米,4. Turfan-Expedition 1913-1914?,4.1913-1914年的吐鲁番远征？,https://id.smb.museum/object/1856961/aussere-hohlenansicht,https://recherche.smb.museum/images/42/4273633_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857010/portrait,https://recherche.smb.museum/images/42/4273681_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856994/portrait,https://recherche.smb.museum/images/42/4273670_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856946/ruinenfeld,https://recherche.smb.museum/images/42/4273581_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857012/portrait,https://recherche.smb.museum/images/42/4273683_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856943/ruinenfeld,https://recherche.smb.museum/images/42/4273576_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856978/gebaude,https://recherche.smb.museum/images/42/4273654_1200x1200.jpg
Höhlen-Panorama,洞穴全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1856996/hohlen-panorama,https://recherche.smb.museum/images/42/4273672_1200x1200.jpg
Gruppenportrait - Würdenträger,集体肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856959/gruppenportrait---wurdentrager,https://recherche.smb.museum/images/42/4273602_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,2. Turfan-Expedition 1904-1905,2.1904-1905年吐鲁番远征,https://id.smb.museum/object/1856975/portrait,https://recherche.smb.museum/images/42/4273650_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,2. Turfan-Expedition 1904-1905,2.1904-1905年吐鲁番远征,https://id.smb.museum/object/1856940/gebaude,https://recherche.smb.museum/images/42/4273573_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1857008/ruinenfeld,https://recherche.smb.museum/images/42/4273679_1200x1200.jpg
Gruppenportrait,集体肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856992/gruppenportrait,https://recherche.smb.museum/images/42/4273668_1200x1200.jpg
Personen,珀森斯,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856976/personen,https://recherche.smb.museum/images/42/4273651_1200x1200.jpg
Höhlen-Panorama,洞穴全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856960/hohlen-panorama,https://recherche.smb.museum/images/42/4273603_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,2. Turfan-Expedition 1904-1905,2.1904-1905年吐鲁番远征,https://id.smb.museum/object/1856941/gebaude,https://recherche.smb.museum/images/42/4273574_1200x1200.jpg
Personen,珀森斯,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856974/personen,https://recherche.smb.museum/images/42/4273649_1200x1200.jpg
Landschaft,景观,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856939/landschaft,https://recherche.smb.museum/images/42/4273572_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856957/ruinenfeld,https://recherche.smb.museum/images/42/4273600_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Objektmaß: 13 x 18 cm,物体尺寸：13 x 18厘米,2. Turfan-Expedition 1904-1905,2.1904-1905年吐鲁番远征,https://id.smb.museum/object/1856973/gebaude,https://recherche.smb.museum/images/42/4273647_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856938/gebaude,https://recherche.smb.museum/images/42/4273571_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856956/gebaude,https://recherche.smb.museum/images/42/4273599_1200x1200.jpg
Tier mit Person,Tier mit人员,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856993/tier-mit-person,https://recherche.smb.museum/images/42/4273669_1200x1200.jpg
Höhlen-Panorama,洞穴全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,1. Turfan-Expedition 1902-1903 bis 3. Turfan-Expedition 1906-1907,1.1902-1903年吐鲁番远征之二3。吐鲁番远征1906-1907,https://id.smb.museum/object/1857009/hohlen-panorama,https://recherche.smb.museum/images/42/4273680_1200x1200.jpg
Höhlenansicht und Wandmalerei,洞穴景观与壁画,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1856953/hohlenansicht-und-wandmalerei,https://recherche.smb.museum/images/42/4273594_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856936/gebaude,https://recherche.smb.museum/images/42/4273569_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856937/gebaude,https://recherche.smb.museum/images/42/4273570_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,2. Turfan-Expedition 1904-1905,2.1904-1905年吐鲁番远征,https://id.smb.museum/object/1856971/portrait,https://recherche.smb.museum/images/42/4273645_1200x1200.jpg
äußere Höhlenansicht,洞穴外景观,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856999/aussere-hohlenansicht,https://recherche.smb.museum/images/42/4273676_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856954/ruinenfeld,https://recherche.smb.museum/images/42/4273596_1200x1200.jpg
Ruinenfeld,Ruinenfeld先生,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1856948/ruinenfeld,https://recherche.smb.museum/images/42/4273585_1200x1200.jpg
Höhlen-Panorama,洞穴全景,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,3. Turfan-Expedition 1906-1907,3.1906-1907年吐鲁番远征,https://id.smb.museum/object/1856966/hohlen-panorama,https://recherche.smb.museum/images/42/4273640_1200x1200.jpg
Gebäude,建筑,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856951/gebaude,https://recherche.smb.museum/images/42/4273590_1200x1200.jpg
Pferdekopf mit gesträubten Haar,编发马头,中国,"Lehm, mit Resten von Malschicht",粘土，含油漆层残留物,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 12 x 8,5 x 12,5 cm,Sockel: 3 x 12 x 14 cm,Höhe x Breite x Tiefe: 15,3 x 12 x 14 cm (mit Sockel),Gewicht: 0,8 kg (mit Sockel)",高x宽x深：12 x 8.5 x 12.5 cm，底座：3 x 12 x 14 cm，高x宽×深：15.3 x 12 x 14cm（带底座），重量：0.8 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840599/pferdekopf-mit-gestraubten-haar,https://recherche.smb.museum/images/42/4238946_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,Turfan-Expedition [1902-1914],吐鲁番探险队,https://id.smb.museum/object/1856968/portrait,https://recherche.smb.museum/images/42/4273642_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,4. Turfan-Expedition 1913-1914,4.吐鲁番探险1913-1914,https://id.smb.museum/object/1856988/portrait,https://recherche.smb.museum/images/42/4273664_1200x1200.jpg
Portrait,肖像,中国,,,Museum für Asiatische Kunst,亚洲艺术博物馆,Plattengröße (Foto): 13 x 18 cm,盘子尺寸（照片）：13 x 18厘米,2. Turfan-Expedition 1904-1905,2.1904-1905年吐鲁番远征,https://id.smb.museum/object/1857017/portrait,https://recherche.smb.museum/images/42/4273725_1200x1200.jpg
Kopf eines Elefanten,大象的头,中国,Luftgetrockneter Lehm mit Farbresten,带有油漆残留物的风干粘土,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 14,5 x 11 x 9 cm,Sockel: 11,2 x 7,5 x 8 cm,Höhe x Breite x Tiefe: 25,8 x 11 x 10,7 cm (mit Sockel),Gewicht: 1 kg (mit Sockel)",高x宽x深：14.5 x 11 x 9厘米，底座：11.2 x 7.5 x 8厘米，高x宽×深：25.8 x 11 x 10.7厘米（带底座），重量：1公斤（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840580/kopf-eines-elefanten,https://recherche.smb.museum/images/58/5838077_1200x1200.jpg
Stutzer 花花公子,Stutzer 花花公子,中国,"Eselleder, bemalt",模具，涂漆,Ethnologisches Museum,民族博物馆,Länge: 28 cm,长度：28厘米,,,https://id.smb.museum/object/1067198/stutzer-%E8%8A%B1%E8%8A%B1%E5%85%AC%E5%AD%90,https://recherche.smb.museum/images/16/1672691_1200x1200.jpg
Fragment Krieger,碎片克里格,中国,Luftgetrockneter Lehm,风干粘土,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 52,5 x 30 x 13,5 cm,Höhe x Breite x Tiefe: 56,6 x 30 x 17,5 cm (mit Sockel),Sockel: 5 x 21 x 17,5 cm,Gewicht: 7,1 kg (mit Sockel)",高x宽x深：52.5 x 30 x 13.5 cm，高x宽×深：56.6 x 30 x 17.5 cm（带底座），底座：5 x 21 x 17.5 cm，重量：7.1 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840505/fragment-krieger,https://recherche.smb.museum/images/58/5837284_1200x1200.jpg
Devata-Kopf,Devata头,中国,Lehm,母牛,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 10 x 6 x 4 cm,Höhe x Breite x Tiefe: 17,4 x 6,1 x 4,8 cm (mit Sockel),Sockel: 7 x 4,6 x 4,6 cm,Gewicht: 0,2 kg (mit Sockel)",高x宽x深：10 x 6 x 4 cm，高x宽×深：17.4 x 6.1 x 4.8 cm（带底座），底座：7 x 4.6 x 4.6 cm，重量：0.2 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840641/devata-kopf,https://recherche.smb.museum/images/58/5836988_1200x1200.jpg
Blauhaariger Brahmanenkopf,蓝发婆罗门头,中国,"Lehm, bemalt",奶牛，扁平,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 9 x 6 x 4 cm,Sockel: 7 x 4,6 x 4,5 cm,Höhe x Breite x Tiefe: 16,1 x 5,5 x 5,4 cm (mit Sockel),Gewicht: 0,2 kg (mit Sockel)",高x宽x深：9 x 6 x 4 cm，底座：7 x 4.6 x 4.5 cm，高x宽×深：16.1 x 5.5 x 5.4 cm（带底座），重量：0.2 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840517/blauhaariger-brahmanenkopf,https://recherche.smb.museum/images/58/5838842_1200x1200.jpg
"""Der Dämonenjäger Zhongkui"" 鍾魁",《魔物猎人仲奎》鍾魁,中国,"Büffelhaut, bemalt",水牛皮，涂漆,Ethnologisches Museum,民族博物馆,"Höhe: 67 cm,Länge: 68,5 cm",高：67厘米，长：68.5厘米,,,https://id.smb.museum/object/1067365/der-damonenjager-zhongkui-%E9%8D%BE%E9%AD%81,https://recherche.smb.museum/images/16/1672665_1200x1200.jpg
Bodhisattva-Kopf,菩萨Kopf,中国,Luftgetrockneter Lehm mit Farbresten,带有油漆残留物的风干粘土,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 15,5 x 12 x 13 cm,Sockel: 12,3 x 9,4 x 10,5 cm,Höhe x Breite x Tiefe: 28,7 x 12 x 13 cm (mit Sockel),Gewicht: 2,4 kg (mit Sockel)",高x宽x深：15.5 x 12 x 13 cm，底座：12.3 x 9.4 x 10.5 cm，高x宽×深：28.7 x 12 x 13cm（带底座），重量：2.4 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840606/bodhisattva-kopf,https://recherche.smb.museum/images/58/5840931_1200x1200.jpg
Armbrust,Armbrust,中国,Holz,木材,Ethnologisches Museum,民族博物馆,,,"Dieses Objekt gilt als Kriegsverlust. Publ. in: Horwitz, Hugo, Die Armbrust in Ostasien.In. Zeitschrift für historische Waffenkunde, Dresden, 1916. (Januar 2009, Siegmar Nahser).",这件物品被认为是战争的损失。Publ。在：霍维茨，雨果，死十字弓在东亚。1916年，德国德累斯顿Waffenkunde历史杂志。（2009年1月，Siegmar Nahser）。,https://id.smb.museum/object/1363750/armbrust,https://recherche.smb.museum/images/24/2486761_1200x1200.jpg
zwei Zinnen,两个城垛,中国,"Luftgetrockneter Lehm, bemalt und vergoldet",风干粘土，涂漆和镀金,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 9,8 x 11,6 x 6 cm (a),Höhe x Breite x Tiefe: 15 x 12,3 x 6,8 cm (a, mit Sockel),Höhe x Breite x Tiefe: 8,9 x 11 x 5 cm (b),Höhe x Breite x Tiefe: 14,9 x 11,9 x 6 cm (b, mit Sockel),Sockel: 6 x 11,9 x 5,9 cm (a),Sockel: 6 x 12 x 6 cm (b),Gewicht: 0,4 kg (je, mit Sockel)",高x宽x深：9.8 x 11.6 x 6厘米（a,[SM8HF],[SM8HF],https://id.smb.museum/object/1840582/zwei-zinnen,https://recherche.smb.museum/images/51/5142816_1200x1200.jpg
Kopf eines Bodhisattva,菩萨之首,中国,"Lehm, mit Farbresten (?)",粘土，有油漆残留物（？）,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 16,5 x 13 x 13 cm,Höhe x Breite x Tiefe: 29,6 x 13,5 x 13,5 cm (mit Sockel),Sockel: 12,3 x 9,3 x 10,4 cm,Gewicht: 2,9 kg (mit Sockel)",高x宽x深：16.5 x 13 x 13 cm，高x宽×深：29.6 x 13.5 x 13.5 cm（带底座），底座：12.3 x 9.3 x 10.4 cm，重量：2.9 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840508/kopf-eines-bodhisattva,https://recherche.smb.museum/images/45/4524795_1200x1200.jpg
Alter Fischer  老漁夫,Alter Fischer老渔夫,中国,"Eselleder, bemalt",模具，涂漆,Ethnologisches Museum,民族博物馆,Länge: 30 cm,长度：30厘米,,,https://id.smb.museum/object/1067203/alter-fischer--%E8%80%81%E6%BC%81%E5%A4%AB,https://recherche.smb.museum/images/16/1672692_1200x1200.jpg
Devata-Kopf,Devata头,中国,"Lehm, gebrannt, mit Resten von Malschicht",烧制粘土，含油漆层残留物,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 10 x 7,5 x 4 cm,Höhe x Breite x Tiefe: 19,3 x 7,4 x 6,1 cm (mit Sockel),Sockel: 9,1 x 6,1 x 6,1 cm,Gewicht: 0,3 kg (mit Sockel)",高x宽x深：10 x 7.5 x 4 cm，高x宽×深：19.3 x 7.4 x 6.1 cm（带底座），底座：9.1 x 6.1 x 6.1 cm，重量：0.3 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840642/devata-kopf,https://recherche.smb.museum/images/58/5832673_1200x1200.jpg
Alter Kaufmann 老商人,Alter Kaufmann 老商人,中国,"Büffelhaut, bemalt",水牛皮，涂漆,Ethnologisches Museum,民族博物馆,Höhe: 57 cm,身高：57厘米,,,https://id.smb.museum/object/1067367/alter-kaufmann-%E8%80%81%E5%95%86%E4%BA%BA,https://recherche.smb.museum/images/16/1672666_1200x1200.jpg
Kopf,头,中国,"Lehm, mit Resten von Malschicht",粘土，含油漆层残留物,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 11 x 11,5 x 7 cm (mit Befestigungsschraube),Gewicht: 0,4 kg",高x宽x深：11 x 11.5 x 7 cm（带固定螺钉），重量：0.4 kg,[SM8HF],[SM8HF],https://id.smb.museum/object/1840519/kopf,https://recherche.smb.museum/images/58/5841940_1200x1200.jpg
Buddhakopf,佛头,中国,"Lehm, bemalt",奶牛，扁平,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 23,5 x 14 x 12 cm,Sockel: 5 x 13,4 x 7,3 cm,Höhe x Breite x Tiefe: 30,8 x 13,4 x 12 cm (mit Sockel),Gewicht: 3,6 kg (mit Sockel)",高x宽x深：23.5 x 14 x 12 cm，底座：5 x 13.4 x 7.3 cm，高x宽×深：30.8 x 13.4 x 12 cm（带底座），重量：3.6 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840522/buddhakopf,https://recherche.smb.museum/images/51/5142809_1200x1200.jpg
Devata-Kopf,Devata头,中国,Lehm,母牛,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 20,7 x 14 x 10 cm,Sockel: 9,5 x 10 x 7,5 cm,Höhe x Breite x Tiefe: 31,1 x 14 x 10 cm (mit Sockel),Gewicht: 2,4 kg (mit Sockel)",高x宽x深：20.7 x 14 x 10 cm，底座：9.5 x 10 x 7.5 cm，高x宽×深：31.1 x 14 x 10cm（带底座），重量：2.4 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840523/devata-kopf,https://recherche.smb.museum/images/58/5837280_1200x1200.jpg
Lokapala,页码（_E）：,中国,"Luftgetrockneter Lehm, bemalt",Luftgetrockneter Lehm，平坦,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 48 x 45 x 30 cm,Höhe x Breite x Tiefe: 52,7 x 50 x 22 cm (mit Sockel),Sockel: 4,1 x 50 x 21,8 cm,Gewicht: 27,2 kg (mit Sockel)",高x宽x深：48 x 45 x 30 cm，高x宽×深：52.7 x 50 x 22 cm（带底座），底座：4.1 x 50 x 21.8 cm，重量：27.2 kg（带底座,[SM8HF],[SM8HF],https://id.smb.museum/object/1840410/lokapala,https://recherche.smb.museum/images/58/5832747_1200x1200.jpg
